<<<<<<< HEAD
3
30
38
27
50
0 16
0 42
7 49
5 49
42 49
7 22
=======
0
50
0 16
0 42
38 49
7 49
20 5
7 30
7 22
5 49
42 49
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
45 19
23 37
45 22
9 37
<<<<<<< HEAD
41 37
16 37
19 37
45 21
45 48
45 4
10 15
45 16
2 15
44 17
43 47
43 41
25 17
9 17
48 17
1 46
29 32
9 32
39 14
12 32
34 13
4 11
47 11
34 11
44 16
9 42
33 42
22 19
39 35
39 25
8 19
9 6
8 26
10 44
10 14
10 20
35 24
35 29
41 5
22 23
=======
45 21
45 27
45 16
19 37
41 37
16 37
45 48
45 4
43 30
43 47
35 30
43 41
32 12
39 14
2 15
10 15
39 25
39 9
44 17
39 35
9 17
46 17
48 17
33 25
4 25
34 25
27 14
3 28
29 28
42 19
22 19
2 19
1 19
48 19
34 19
10 8
26 8
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
