<<<<<<< HEAD
3
24
34
37
47
0 38
10 49
47 49
38 16
0 9
0 31
5 16
42 45
4 21
4 40
4 30
23 19
23 30
12 1
38 47
38 30
9 43
19 43
3 47
40 8
13 11
13 22
21 22
27 2
3 30
44 19
42 2
35 2
44 9
44 33
44 17
44 40
20 29
14 31
21 1
27 29
48 29
35 29
5 18
21 7
21 13
21 36
30 32
7 47
6 9
42 9
27 42
=======
1
27
50
38 47
0 38
19 35
10 49
47 49
0 4
0 9
31 14
31 29
31 19
45 16
5 16
30 38
12 38
34 3
30 3
47 3
9 44
33 44
5 17
37 24
21 44
40 44
30 17
43 19
1 12
30 23
21 4
30 4
37 8
6 40
29 24
15 40
7 40
8 40
25 24
46 24
32 30
33 32
7 47
21 13
34 13
22 13
9 13
8 11
21 22
37 2
42 2
35 2
48 29
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
