<<<<<<< HEAD
1
14
=======
3
10
20
45
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
50
0 21
28 49
12 49
<<<<<<< HEAD
20 49
24 49
27 49
11 49
31 49
48 49
0 17
0 23
0 19
29 49
0 40
33 49
42 49
11 40
41 49
8 49
30 49
15 49
0 37
0 27
0 28
0 48
0 11
0 41
0 39
17 49
0 31
0 22
36 49
0 25
0 9
0 42
0 47
27 37
0 38
6 49
4 18
39 49
10 49
20 37
0 24
16 49
20 12
37 49
5 49
13 49
45 49
=======
0 23
17 24
0 27
11 49
27 49
27 24
31 49
24 49
48 49
0 17
19 42
34 8
0 40
11 33
48 41
0 41
0 37
0 11
0 28
33 49
42 49
29 49
0 48
0 31
9 11
0 19
0 22
0 39
30 49
15 49
8 49
41 49
36 49
25 37
38 21
9 31
46 39
17 49
41 6
47 5
0 9
0 25
27 37
39 49
0 38
0 4
41 14
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
