<<<<<<< HEAD
2
48
12
48
3 49
0 2
1 5
1 2
3 5
3 4
2 47
4 6
25 23
23 49
40 42
4 32
5 6
40 41
27 29
28 29
37 39
30 31
30 32
42 44
41 43
17 19
16 18
15 17
13 15
7 9
10 11
38 39
14 16
31 33
32 33
43 45
34 36
35 37
33 35
24 26
25 27
26 28
36 38
20 21
22 24
21 23
20 22
44 45
18 19
8 9
7 6
46 47
=======
1
34
50
0 1
2 47
2 4
2 1
3 49
11 48
23 49
40 42
42 44
4 32
25 27
40 41
20 21
29 31
26 28
12 13
37 39
8 10
8 9
41 43
19 21
3 5
24 26
6 7
30 31
17 19
16 18
32 33
8 7
15 17
12 14
13 15
14 16
38 39
1 5
6 5
22 24
23 25
43 45
22 21
44 45
46 48
47 49
46 47
37 38
29 30
27 28
9 10
18 20
35 36
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
