<<<<<<< HEAD
0
50
0 8
15 36
0 36
17 36
14 36
33 36
22 18
16 18
9 18
11 18
0 21
9 1
21 1
0 2
11 4
0 27
0 23
0 7
11 24
11 6
21 4
26 4
7 4
15 4
19 4
17 8
11 22
11 13
11 17
11 30
27 9
27 34
27 29
31 32
27 3
27 28
31 26
31 22
31 16
31 20
31 28
6 10
6 7
23 13
23 24
16 8
23 2
23 14
20 8
23 16
=======
3
19
29
11
45
8 17
15 36
0 36
22 25
14 36
16 17
0 8
0 21
0 2
17 36
0 27
0 23
33 36
22 18
7 4
16 18
7 6
9 18
7 20
9 1
21 1
7 15
7 32
21 4
26 4
15 4
16 8
13 8
20 8
35 8
22 8
14 3
9 27
34 27
17 30
17 12
17 21
13 14
31 27
13 10
13 23
13 16
13 24
15 26
15 14
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
