<<<<<<< HEAD
2
12
42
50
25 48
0 8
0 44
0 39
14 43
0 35
0 24
30 48
0 14
0 48
26 40
27 48
13 48
38 48
28 48
7 48
40 48
0 9
0 20
1 48
0 21
0 25
0 33
0 41
19 48
13 15
44 48
22 48
43 48
0 1
43 45
37 48
24 48
23 28
25 37
45 48
27 36
25 36
33 36
40 36
26 36
0 18
34 36
6 36
0 38
0 19
0 10
0 23
0 13
46 27
=======
3
46
38
22
50
42 48
25 48
8 13
27 48
0 8
0 44
21 26
43 15
35 30
14 43
24 40
16 21
20 30
0 35
0 48
15 13
0 9
26 40
0 14
30 48
0 20
28 48
24 1
13 48
33 40
7 48
0 24
40 48
12 47
19 48
0 39
0 25
1 48
44 48
0 33
0 12
0 21
0 41
43 48
43 45
37 48
0 23
0 18
0 1
0 19
10 11
0 13
10 12
36 48
45 48
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
