<<<<<<< HEAD
1
28
50
0 47
27 1
12 11
14 3
14 33
14 18
14 38
14 34
4 11
42 31
17 49
5 49
26 49
24 1
7 3
3 18
39 42
39 46
15 35
2 23
40 36
40 30
48 1
41 1
36 16
22 8
8 16
30 8
42 17
13 45
33 46
23 46
38 34
26 47
42 47
33 11
29 25
6 42
10 30
24 42
22 32
15 6
3 32
26 6
36 6
26 38
26 13
21 5
29 15
10 19
=======
0
50
26 49
0 47
27 1
5 49
12 11
14 3
17 49
1 49
47 42
25 42
14 18
14 38
14 33
39 42
14 34
4 9
11 33
11 47
34 38
46 45
46 23
46 33
7 3
2 40
23 3
23 5
13 26
17 42
20 8
41 16
1 24
1 48
35 15
18 3
16 36
30 42
8 22
6 42
38 3
15 22
32 48
19 22
30 40
19 26
15 6
36 6
26 6
29 40
29 28
21 26
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
