<<<<<<< HEAD
1
38
48
0 49
48 49
0 2
47 49
0 35
22 2
48 47
2 1
4 3
44 7
16 4
21 27
46 23
15 13
35 34
43 41
43 42
45 44
29 7
27 10
14 13
6 5
9 7
31 6
10 8
19 18
34 14
19 17
41 39
42 40
18 17
16 15
11 9
12 11
46 45
22 20
19 21
39 22
23 21
34 32
35 33
32 30
31 29
28 26
27 26
30 29
25 24
37 36
=======
0
48
0 49
48 49
2 1
47 49
4 3
2 4
2 22
0 35
48 47
44 7
16 4
21 27
15 13
46 23
34 32
41 39
40 38
23 24
39 37
46 45
19 18
38 36
14 13
45 43
44 43
7 5
10 8
38 37
19 17
14 12
18 17
16 15
39 22
21 20
21 22
34 33
34 35
36 35
42 40
42 43
32 31
30 29
30 31
31 6
7 6
28 26
29 7
10 9
>>>>>>> c5ecc4e947455971345391f919ae243a8842fc1b
